ABW Aruba,ABW,Aruba
DMA Dominica,DMA,Dominica
DNK Denmark,DNK,Denmark
DOM Dominican Republic,DOM,Dominican Republic
DZA Algeria,DZA,Algeria
ECU Ecuador,ECU,Ecuador
EGY Egypt,EGY,Egypt
ERI Eritrea,ERI,Eritrea
ESH Western Sahara,ESH,Western Sahara
ESP Spain,ESP,Spain
EST Estonia,EST,Estonia
ETH Ethiopia,ETH,Ethiopia
FIN Finland,FIN,Finland
FJI Fiji,FJI,Fiji
FLK Falkland Islands (Malvinas),FLK,Falkland Islands (Malvinas)
FRA France,FRA,France
FRO Faroe Islands,FRO,Faroe Islands
"FSM Micronesia, Federated States of",FSM,"Micronesia, Federated States of"
GAB Gabon,GAB,Gabon
GBR United Kingdom,GBR,United Kingdom
GEO Georgia,GEO,Georgia
GGY Guernsey,GGY,Guernsey
GHA Ghana,GHA,Ghana
GIB Gibraltar,GIB,Gibraltar
GIN Guinea,GIN,Guinea
GLP Guadeloupe,GLP,Guadeloupe
GMB Gambia,GMB,Gambia
GNB Guinea-Bissau,GNB,Guinea-Bissau
GNQ Equatorial Guinea,GNQ,Equatorial Guinea
GRC Greece,GRC,Greece
GRD Grenada,GRD,Grenada
GRL Greenland,GRL,Greenland
GTM Guatemala,GTM,Guatemala
GUF French Guiana,GUF,French Guiana
GUM Guam,GUM,Guam
GUY Guyana,GUY,Guyana
HKG Hong Kong,HKG,Hong Kong
HMD Heard Island and McDonald Islands,HMD,Heard Island and McDonald Islands
HND Honduras,HND,Honduras
HRV Croatia,HRV,Croatia
HTI Haiti,HTI,Haiti
HUN Hungary,HUN,Hungary
IDN Indonesia,IDN,Indonesia
IMN Isle of Man,IMN,Isle of Man
IND India,IND,India
IOT British Indian Ocean Territory,IOT,British Indian Ocean Territory
IRL Ireland,IRL,Ireland
"IRN Iran, Islamic Republic of",IRN,"Iran, Islamic Republic of"
IRQ Iraq,IRQ,Iraq
ISL Iceland,ISL,Iceland
ISR Israel,ISR,Israel
ITA Italy,ITA,Italy
JAM Jamaica,JAM,Jamaica
JEY Jersey,JEY,Jersey
JOR Jordan,JOR,Jordan
JPN Japan,JPN,Japan
KAZ Kazakhstan,KAZ,Kazakhstan
KEN Kenya,KEN,Kenya
KGZ Kyrgyzstan,KGZ,Kyrgyzstan
KHM Cambodia,KHM,Cambodia
KIR Kiribati,KIR,Kiribati
KNA Saint Kitts and Nevis,KNA,Saint Kitts and Nevis
"KOR Korea, Republic of",KOR,"Korea, Republic of"
KWT Kuwait,KWT,Kuwait
LAO Lao People's Democratic Republic,LAO,Lao People's Democratic Republic
LBN Lebanon,LBN,Lebanon
LBR Liberia,LBR,Liberia
LBY Libyan Arab Jamahiriya,LBY,Libyan Arab Jamahiriya
LCA Saint Lucia,LCA,Saint Lucia
LIE Liechtenstein,LIE,Liechtenstein
LKA Sri Lanka,LKA,Sri Lanka
LSO Lesotho,LSO,Lesotho
LTU Lithuania,LTU,Lithuania
LUX Luxembourg,LUX,Luxembourg
LVA Latvia,LVA,Latvia
MAC Macao,MAC,Macao
MAF Saint Martin (French part),MAF,Saint Martin (French part)
MAR Morocco,MAR,Morocco
MCO Monaco,MCO,Monaco
"MDA Moldova, Republic of",MDA,"Moldova, Republic of"
MDG Madagascar,MDG,Madagascar
MDV Maldives,MDV,Maldives
MEX Mexico,MEX,Mexico
MHL Marshall Islands,MHL,Marshall Islands
"MKD Macedonia, the former Yugoslav Republic of",MKD,"Macedonia, the former Yugoslav Republic of"
MLI Mali,MLI,Mali
MLT Malta,MLT,Malta
MMR Myanmar,MMR,Myanmar
MNE Montenegro,MNE,Montenegro
MNG Mongolia,MNG,Mongolia
MNP Northern Mariana Islands,MNP,Northern Mariana Islands
MOZ Mozambique,MOZ,Mozambique
MRT Mauritania,MRT,Mauritania
MSR Montserrat,MSR,Montserrat
MTQ Martinique,MTQ,Martinique
MUS Mauritius,MUS,Mauritius
MWI Malawi,MWI,Malawi
MYS Malaysia,MYS,Malaysia
MYT Mayotte,MYT,Mayotte
NAM Namibia,NAM,Namibia
NCL New Caledonia,NCL,New Caledonia
NER Niger,NER,Niger
NFK Norfolk Island,NFK,Norfolk Island
NGA Nigeria,NGA,Nigeria
NIC Nicaragua,NIC,Nicaragua
NIU Niue,NIU,Niue
NLD Netherlands,NLD,Netherlands
NOR Norway,NOR,Norway
NPL Nepal,NPL,Nepal
NRU Nauru,NRU,Nauru
NZL New Zealand,NZL,New Zealand
OMN Oman,OMN,Oman
PAK Pakistan,PAK,Pakistan
PAN Panama,PAN,Panama
PCN Pitcairn,PCN,Pitcairn
PER Peru,PER,Peru
PHL Philippines,PHL,Philippines
PLW Palau,PLW,Palau
PNG Papua New Guinea,PNG,Papua New Guinea
POL Poland,POL,Poland
PRI Puerto Rico,PRI,Puerto Rico
"PRK Korea, Democratic People's Republic of",PRK,"Korea, Democratic People's Republic of"
PRT Portugal,PRT,Portugal
PRY Paraguay,PRY,Paraguay
"PSE Palestinian Territory, Occupied",PSE,"Palestinian Territory, Occupied"
PYF French Polynesia,PYF,French Polynesia
QAT Qatar,QAT,Qatar
REU Réunion,REU,Réunion
ROU Romania,ROU,Romania
RUS Russian Federation,RUS,Russian Federation
RWA Rwanda,RWA,Rwanda
SAU Saudi Arabia,SAU,Saudi Arabia
SDN Sudan,SDN,Sudan
SEN Senegal,SEN,Senegal
SGP Singapore,SGP,Singapore
SGS South Georgia and the South Sandwich Islands,SGS,South Georgia and the South Sandwich Islands
"SHN Saint Helena, Ascension and Tristan da Cunha",SHN,"Saint Helena, Ascension and Tristan da Cunha"
SJM Svalbard and Jan Mayen,SJM,Svalbard and Jan Mayen
SLB Solomon Islands,SLB,Solomon Islands
SLE Sierra Leone,SLE,Sierra Leone
SLV El Salvador,SLV,El Salvador
SMR San Marino,SMR,San Marino
SOM Somalia,SOM,Somalia
SPM Saint Pierre and Miquelon,SPM,Saint Pierre and Miquelon
SRB Serbia,SRB,Serbia
STP Sao Tome and Principe,STP,Sao Tome and Principe
SUR Suriname,SUR,Suriname
SVK Slovakia,SVK,Slovakia
SVN Slovenia,SVN,Slovenia
SWE Sweden,SWE,Sweden
SWZ Swaziland,SWZ,Swaziland
SYC Seychelles,SYC,Seychelles
SYR Syrian Arab Republic,SYR,Syrian Arab Republic
TCA Turks and Caicos Islands,TCA,Turks and Caicos Islands
TCD Chad,TCD,Chad
TGO Togo,TGO,Togo
THA Thailand,THA,Thailand
TJK Tajikistan,TJK,Tajikistan
TKL Tokelau,TKL,Tokelau
TKM Turkmenistan,TKM,Turkmenistan
TLS Timor-Leste,TLS,Timor-Leste
TON Tonga,TON,Tonga
TTO Trinidad and Tobago,TTO,Trinidad and Tobago
TUN Tunisia,TUN,Tunisia
TUR Turkey,TUR,Turkey
TUV Tuvalu,TUV,Tuvalu
"TWN Taiwan, Province of China",TWN,"Taiwan, Province of China"
"TZA Tanzania, United Republic of",TZA,"Tanzania, United Republic of"
UGA Uganda,UGA,Uganda
UKR Ukraine,UKR,Ukraine
UMI United States Minor Outlying Islands,UMI,United States Minor Outlying Islands
URY Uruguay,URY,Uruguay
USA United States,USA,United States
UZB Uzbekistan,UZB,Uzbekistan
VAT Holy See (Vatican City State),VAT,Holy See (Vatican City State)
VCT Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines
"VEN Venezuela, Bolivarian Republic of",VEN,"Venezuela, Bolivarian Republic of"
"VGB Virgin Islands, British",VGB,"Virgin Islands, British"
"VIR Virgin Islands, U.S.",VIR,"Virgin Islands, U.S."
VNM Viet Nam,VNM,Viet Nam
VUT Vanuatu,VUT,Vanuatu
WLF Wallis and Futuna,WLF,Wallis and Futuna
WSM Samoa,WSM,Samoa
YEM Yemen,YEM,Yemen
ZAF South Africa,ZAF,South Africa
ZMB Zambia,ZMB,Zambia
ZWE Zimbabwe,ZWE,Zimbabwe
